Ag 4321 Conta 87654-3
Data;Historico;Valor
02/01/2026;SALDO ANTERIOR;10.000,00
02/01/2026;PIX RECEBIDO JOANA MARTINS;5.000,00
;Rem: Transferencia PIX 02/01
05/01/2026;REND PAGO APLIC AUT;150,25
05/01/2026;RESGATE CDB;3.000,00
08/01/2026;PIX ENVIADO MARCELO SOUZA;-1.200,00
;Des: Pagamento servicos
08/01/2026;PAGTO BOLETO ENERGIA;-350,50
10/01/2026;TED RECEBIDO EMPRESA BETA;8.000,00
;Rem: Pagamento referente NF 1234
15/01/2026;PIX ENVIADO SUPERMERCADO;-450,15
15/01/2026;APLICACAO CDB;-5.000,00
20/01/2026;PIX RECEBIDO CARLOS SILVA;12.000,00
;Rem: Transferencia PIX 20/01
25/01/2026;COMPRA CARTAO FARMACIA;-265,50
28/01/2026;PAGTO BOLETO INTERNET;-150,00
05/02/2026;PIX ENVIADO RESTAURANTE;-1.850,00
;Des: Jantar empresa
